NOMBRE : N20E50R20_02
COMENTARIO : Generated instance
VERTICES : 20
ARISTAS_REQ : 20
ARISTAS_NOREQ : 30
COORDS :
1 5.347 3.232
2 9.724 3.785
3 4.584 8.220
4 9.261 7.758
5 0.683 1.535
6 0.090 7.745
7 7.075 1.235
8 5.920 7.003
9 7.867 6.533
10 7.638 3.188
11 8.394 0.539
12 0.399 5.143
13 3.427 8.329
14 2.118 3.237
15 3.158 1.635
16 8.276 5.834
17 2.658 5.273
18 5.173 1.347
19 7.667 8.429
20 0.839 3.552
LISTA_ARISTAS_REQ :
(  11, 14)  coste     8.974    8.974
(  17, 18)  coste     6.442    6.442
(  3,  9)  coste     4.970    4.970
(  4, 11)  coste     8.087    8.087
(  16, 18)  coste     7.590    7.590
(  3, 15)  coste     8.010    8.010
(  1,  2)  coste     4.930    4.930
(  10, 20)  coste     7.163    7.163
(  1,  7)  coste     3.725    3.725
(  5, 17)  coste     5.714    5.714
(  7, 13)  coste     10.743    10.743
(  3,  7)  coste     9.476    9.476
(  4, 17)  coste     9.088    9.088
(  2, 15)  coste     8.716    8.716
(  3,  5)  coste     10.586    10.586
(  2,  5)  coste     11.291    11.291
(  2, 20)  coste     9.118    9.118
(  2, 12)  coste     10.683    10.683
(  10, 11)  coste     3.405    3.405
(  9, 17)  coste     6.468    6.468
LISTA_ARISTAS_NOREQ :
(  1, 18)  coste     2.059    2.059
(  18,  7)  coste     2.014    2.014
(  7, 11)  coste     2.014    2.014
(  18, 15)  coste     2.304    2.304
(  1, 10)  coste     2.335    2.335
(  15,  5)  coste     2.575    2.575
(  5, 20)  coste     2.174    2.174
(  20, 14)  coste     1.593    1.593
(  20, 12)  coste     2.031    2.031
(  12, 17)  coste     2.390    2.390
(  10,  2)  coste     2.683    2.683
(  12,  6)  coste     2.911    2.911
(  10, 16)  coste     3.283    3.283
(  16,  9)  coste     1.108    1.108
(  9, 19)  coste     2.096    2.096
(  19,  4)  coste     2.265    2.265
(  9,  8)  coste     2.417    2.417
(  8,  3)  coste     2.553    2.553
(  3, 13)  coste     1.266    1.266
(  3, 14)  coste     7.448    7.448
(  7, 10)  coste     2.516    2.516
(  2, 19)  coste     6.702    6.702
(  16, 17)  coste     6.178    6.178
(  7, 12)  coste     10.584    10.584
(  4, 16)  coste     2.910    2.910
(  12, 13)  coste     6.214    6.214
(  8, 17)  coste     4.991    4.991
(  5,  8)  coste     10.705    10.705
(  2,  9)  coste     4.606    4.606
(  1,  8)  coste     4.344    4.344
