NOMBRE : N500E2000R100_02
COMENTARIO : Generated instance
VERTICES : 500
ARISTAS_REQ : 100
ARISTAS_NOREQ : 1900
COORDS :
1 7.000 6.300
2 2.200 3.600
3 0.400 6.500
4 8.400 2.100
5 0.300 5.000
6 9.400 0.000
7 6.500 1.300
8 7.700 8.700
9 2.600 2.000
10 0.200 9.800
11 0.100 4.600
12 7.500 9.600
13 7.800 0.000
14 1.200 2.700
15 7.400 0.200
16 8.700 9.700
17 7.600 9.100
18 1.500 3.100
19 6.300 9.200
20 4.000 4.200
21 2.900 8.600
22 9.200 4.100
23 6.700 9.300
24 8.300 6.900
25 1.400 8.700
26 2.800 7.500
27 9.300 1.600
28 8.400 5.200
29 3.300 4.200
30 2.400 1.300
31 8.200 4.100
32 4.200 4.300
33 0.700 2.500
34 7.000 2.600
35 9.300 9.500
36 7.600 7.800
37 1.800 7.400
38 9.800 3.400
39 6.800 5.200
40 5.200 8.900
41 7.100 3.100
42 1.100 4.900
43 3.800 9.200
44 6.800 1.600
45 2.200 6.600
46 4.700 7.300
47 3.300 4.500
48 5.100 4.900
49 7.300 3.800
50 1.700 7.700
51 7.600 9.300
52 0.100 0.000
53 3.300 0.600
54 9.200 1.400
55 9.700 9.700
56 3.800 8.300
57 4.500 7.000
58 2.100 4.600
59 4.900 4.800
60 4.400 5.400
61 5.200 9.900
62 4.400 8.400
63 0.700 4.700
64 5.500 3.300
65 8.300 9.400
66 3.500 6.500
67 3.700 1.600
68 6.300 8.000
69 8.600 0.000
70 7.500 2.400
71 2.000 0.200
72 6.600 4.700
73 9.300 3.100
74 7.100 7.000
75 7.500 0.400
76 0.500 1.000
77 8.400 9.700
78 1.600 8.500
79 4.000 2.100
80 9.100 5.400
81 7.800 4.500
82 3.800 3.200
83 0.000 3.700
84 5.500 9.500
85 8.400 2.900
86 1.800 0.800
87 1.300 2.300
88 9.500 6.700
89 2.900 5.400
90 7.000 1.500
91 7.700 5.400
92 1.300 1.600
93 8.400 3.400
94 6.200 4.000
95 6.900 0.100
96 2.800 8.700
97 7.300 8.200
98 9.500 2.700
99 7.100 1.100
100 0.000 0.200
101 9.500 0.600
102 4.300 8.400
103 3.800 6.600
104 5.000 9.200
105 9.900 3.200
106 5.300 7.500
107 7.800 2.600
108 3.400 6.600
109 2.100 0.900
110 7.300 2.200
111 4.800 5.700
112 0.400 7.900
113 6.500 5.200
114 2.700 1.500
115 2.900 5.800
116 3.200 5.600
117 1.900 5.400
118 5.400 5.200
119 7.400 4.400
120 7.500 0.600
121 5.900 9.800
122 6.400 9.900
123 9.600 9.400
124 2.200 6.300
125 7.000 4.200
126 5.000 0.000
127 9.400 1.800
128 5.300 2.900
129 3.100 0.900
130 9.700 0.500
131 8.200 9.400
132 8.600 4.400
133 7.100 9.200
134 5.700 6.600
135 9.600 1.000
136 9.400 8.300
137 7.800 4.600
138 1.200 0.500
139 2.800 3.600
140 9.500 0.800
141 5.000 3.000
142 8.700 0.900
143 4.500 6.200
144 7.000 8.500
145 7.100 8.500
146 0.900 4.800
147 6.500 4.200
148 0.400 3.300
149 1.500 2.600
150 7.600 8.700
151 6.200 7.300
152 6.900 4.900
153 0.200 7.500
154 1.900 4.200
155 4.700 7.400
156 4.600 4.600
157 1.300 2.900
158 2.400 7.000
159 6.500 0.300
160 0.500 7.600
161 2.700 7.900
162 4.200 6.800
163 0.600 9.500
164 8.600 6.500
165 0.200 6.000
166 5.300 8.700
167 6.700 4.700
168 3.800 0.100
169 0.300 9.600
170 3.000 4.200
171 6.600 0.200
172 1.800 1.500
173 6.400 2.600
174 7.800 8.600
175 9.800 7.300
176 1.100 2.400
177 0.500 8.800
178 8.700 4.200
179 1.400 0.600
180 9.000 7.900
181 7.200 4.300
182 0.400 0.800
183 3.100 7.900
184 4.100 6.700
185 6.700 6.400
186 1.800 8.900
187 8.400 7.500
188 0.700 6.400
189 0.100 4.400
190 0.700 3.500
191 1.000 1.500
192 2.000 5.800
193 5.700 5.800
194 8.000 4.500
195 9.400 2.000
196 2.400 8.200
197 6.000 5.200
198 1.500 3.200
199 7.800 4.900
200 5.100 3.500
201 0.100 8.900
202 8.200 9.600
203 4.600 3.500
204 8.200 8.800
205 8.900 7.000
206 7.400 1.900
207 3.700 5.200
208 7.300 8.100
209 4.600 3.700
210 3.300 3.300
211 0.000 4.300
212 7.400 4.000
213 8.900 8.800
214 7.100 1.400
215 6.800 2.500
216 8.000 2.900
217 2.100 8.000
218 9.800 7.000
219 8.000 3.300
220 7.000 4.700
221 4.600 3.400
222 9.000 7.000
223 9.200 1.300
224 3.800 5.300
225 0.300 2.700
226 3.600 4.000
227 1.000 9.900
228 7.100 8.800
229 4.100 7.900
230 5.600 9.900
231 4.100 6.500
232 0.600 7.200
233 0.400 0.700
234 7.700 5.100
235 7.300 7.900
236 5.900 6.000
237 7.700 5.600
238 6.700 5.100
239 1.400 5.700
240 0.100 1.800
241 7.700 1.800
242 3.800 4.400
243 9.300 6.300
244 6.800 4.500
245 2.700 7.100
246 3.100 6.400
247 2.300 4.600
248 2.300 9.500
249 4.400 9.600
250 9.000 0.100
251 6.000 0.700
252 6.600 9.100
253 1.200 6.800
254 7.900 5.900
255 7.900 7.000
256 1.900 3.200
257 1.500 1.200
258 4.200 6.200
259 1.100 7.400
260 6.600 5.700
261 8.100 1.700
262 5.000 6.000
263 4.000 5.600
264 8.000 7.300
265 0.600 6.300
266 6.500 8.000
267 6.500 2.200
268 1.600 8.800
269 3.000 7.600
270 0.800 9.800
271 8.700 2.700
272 1.600 1.200
273 4.200 4.100
274 8.600 1.700
275 5.500 1.800
276 2.300 9.300
277 1.900 5.000
278 5.900 8.600
279 2.700 3.200
280 9.000 8.200
281 5.100 1.000
282 6.700 8.400
283 1.100 0.800
284 4.100 9.400
285 9.100 8.200
286 1.200 1.600
287 9.400 1.600
288 9.200 0.000
289 2.300 4.800
290 2.900 4.700
291 6.200 9.700
292 1.800 0.500
293 1.800 4.700
294 6.300 4.600
295 3.100 0.000
296 7.500 8.400
297 9.200 4.600
298 8.000 6.200
299 1.100 7.200
300 3.200 0.100
301 4.300 5.500
302 0.500 4.300
303 5.900 3.600
304 6.400 0.000
305 5.500 4.200
306 8.600 8.200
307 0.400 7.400
308 5.500 6.900
309 2.400 4.500
310 8.100 4.500
311 6.100 1.600
312 4.600 2.700
313 8.800 3.600
314 7.200 9.000
315 8.400 3.300
316 1.700 1.300
317 9.700 8.000
318 9.100 8.800
319 6.300 0.700
320 5.800 3.800
321 3.200 6.500
322 8.100 4.300
323 7.000 1.300
324 6.500 7.200
325 1.300 9.500
326 2.700 1.400
327 9.700 1.000
328 5.300 8.500
329 4.400 6.200
330 9.200 2.400
331 6.800 6.400
332 1.400 9.000
333 1.400 4.800
334 4.200 9.600
335 4.900 5.400
336 6.300 0.300
337 2.400 5.200
338 9.700 5.600
339 9.500 7.000
340 0.200 3.100
341 2.000 5.000
342 3.700 6.400
343 4.100 6.800
344 8.700 1.800
345 4.300 5.400
346 9.400 4.700
347 3.500 5.000
348 7.100 2.500
349 6.100 4.200
350 5.300 9.700
351 5.700 7.700
352 2.600 6.300
353 4.500 7.500
354 9.700 6.600
355 1.500 6.200
356 1.400 3.400
357 1.800 9.300
358 5.400 0.300
359 6.300 8.800
360 4.800 3.900
361 7.600 3.400
362 3.600 8.100
363 6.800 7.000
364 1.900 2.600
365 3.500 6.400
366 5.200 0.500
367 3.700 4.700
368 1.300 9.000
369 9.600 9.200
370 8.500 1.200
371 1.100 8.100
372 3.700 2.600
373 9.300 1.000
374 0.200 6.900
375 7.600 3.600
376 9.900 0.200
377 9.600 1.500
378 6.600 2.800
379 8.100 2.100
380 3.000 2.400
381 1.700 8.200
382 9.900 6.700
383 6.000 3.200
384 2.500 4.900
385 9.200 3.400
386 9.800 4.600
387 2.600 5.200
388 9.100 0.300
389 3.200 3.700
390 4.500 0.600
391 9.000 4.300
392 3.300 9.900
393 5.000 4.600
394 0.300 9.300
395 8.900 6.700
396 5.300 3.800
397 6.600 4.100
398 4.200 2.700
399 4.100 8.100
400 1.400 7.600
401 4.800 6.700
402 0.800 0.900
403 8.500 3.000
404 3.000 3.000
405 4.300 2.700
406 3.800 6.500
407 2.900 3.800
408 3.700 8.900
409 9.000 6.400
410 1.400 8.000
411 9.900 4.000
412 4.100 3.200
413 0.900 5.800
414 6.900 4.000
415 2.300 1.700
416 0.300 6.000
417 1.300 9.200
418 8.100 1.900
419 6.600 0.000
420 1.000 2.100
421 9.000 9.400
422 8.600 6.300
423 6.900 6.500
424 9.400 4.500
425 0.600 2.300
426 4.900 4.100
427 2.800 7.800
428 0.300 2.900
429 6.600 5.500
430 6.800 5.500
431 1.300 2.500
432 8.000 7.900
433 5.200 6.300
434 7.400 3.800
435 0.300 8.200
436 7.100 3.300
437 6.000 3.100
438 5.900 1.900
439 9.800 7.500
440 3.700 2.200
441 8.000 8.000
442 3.600 5.700
443 2.200 0.900
444 7.300 7.100
445 5.700 9.300
446 9.600 8.000
447 8.800 6.300
448 4.200 7.400
449 8.900 0.500
450 3.000 0.300
451 5.300 2.300
452 1.900 6.900
453 8.000 8.300
454 6.800 2.200
455 1.400 1.900
456 5.500 9.700
457 4.800 4.100
458 2.700 6.100
459 6.100 3.800
460 4.900 5.000
461 1.600 5.000
462 1.600 6.900
463 5.000 0.700
464 6.900 1.800
465 7.100 0.900
466 9.700 8.700
467 9.100 3.400
468 4.500 7.900
469 5.300 0.800
470 2.900 8.900
471 7.400 4.100
472 4.900 7.400
473 3.700 3.500
474 2.600 9.500
475 9.600 9.600
476 1.800 3.400
477 6.400 9.800
478 0.200 6.800
479 3.400 5.600
480 6.500 3.700
481 6.900 9.000
482 8.700 3.400
483 5.300 5.900
484 7.400 8.700
485 9.100 7.400
486 7.300 4.700
487 5.100 2.700
488 7.500 9.200
489 5.700 7.800
490 0.200 9.600
491 1.400 0.900
492 5.800 4.300
493 6.300 9.000
494 9.900 8.000
495 6.400 1.700
496 0.900 6.300
497 9.400 6.400
498 3.400 9.500
499 9.100 0.600
500 3.600 2.500
LISTA_ARISTAS_REQ :
(   1, 418)  coste     5.500    5.500
(   3, 118)  coste     6.300    6.300
(   4, 57)  coste     8.800    8.800
(   6, 138)  coste     8.700    8.700
(  14, 391)  coste     9.400    9.400
(  15, 93)  coste     4.200    4.200
(  15, 206)  coste     1.700    1.700
(  16, 114)  coste     14.200    14.200
(  16, 232)  coste     10.600    10.600
(  18, 274)  coste     8.500    8.500
(  19, 373)  coste     11.200    11.200
(  31, 394)  coste     13.100    13.100
(  32, 151)  coste     5.000    5.000
(  32, 313)  coste     5.300    5.300
(  38, 134)  coste     7.300    7.300
(  38, 336)  coste     6.600    6.600
(  39, 71)  coste     9.800    9.800
(  41, 229)  coste     7.800    7.800
(  41, 361)  coste     0.800    0.800
