s0,s1,s2,q_1,q_2,q_3,q_4,q_5
0,0,0,0.0003127107344755543,2.740302710231831e-07,0.0,0.0003867652104333001,0.017702519660135974
0,0,1,0.002270171032582213,0.012069428875092077,0.0,0.018597489672456557,0.051774285179752105
0,0,2,0.005472234854565835,0.011545828824614395,0.0,0.005418992049534273,0.11868428304692766
0,1,0,1.3838774434776794e-11,4.708064978744219e-06,0.00028811967964593625,0.0012075746203538617,0.008952038576409808
0,1,1,0.0007295536562718229,0.015586863778723321,0.013593094527444297,0.0027642010062994887,0.041172728667105724
0,1,2,3.732395848090434e-05,0.001500634034917869,0.0015598497271647003,0.026374015894203746,0.18121309561815097
0,2,0,4.697702522794811e-05,1.3698317878469862e-06,0.0014560789833806208,0.00013464230685937876,0.007656651300896088
0,2,1,6.51904305783246e-07,0.0074369044511191605,0.003817331176645206,0.0006275490291401171,0.05878562428133283
0,2,2,0.003115240377830094,0.019864015286685913,0.008208742144799816,0.04398470112096593,0.21550167999847386
1,0,0,0.0,0.0,0.0,0.0,0.014317876905347103
1,0,1,0.0,0.0,0.0,0.002317929423477705,0.09028029691836338
1,0,2,0.0,0.0,0.0,0.0,0.044221346669377846
1,1,0,0.0,0.0,2.7945427940127142e-05,1.3664649159858551e-06,0.0065487080235576605
1,1,1,0.0,0.004959980288201689,0.0006902676058082596,0.011068844958638815,0.03566209258367498
1,1,2,0.0,0.01725876738163665,0.011841132238201185,0.003457085951066785,0.1537461768715797
1,2,0,1.8494575522728723e-13,2.495378244994754e-08,8.350572167798037e-07,8.062234215150692e-07,0.010392069320752168
1,2,1,0.0,0.0,0.0035592110796302027,0.0,0.018305216711411144
1,2,2,0.0012861276086854401,0.0,0.0,0.006175711752092185,0.19551651247981938
2,0,0,8.328055080636825e-11,0.0,0.0,0.0,0.00796876126770666
2,0,1,0.0007934629253557153,0.0,0.0,0.0,0.0
2,0,2,0.0008906727741226845,0.0,0.0,0.0,0.06821458129555269
2,1,0,1.926129564112888e-09,0.0,0.0,5.044125967241292e-05,0.008731587313374372
2,1,1,1.4359755259512716e-08,2.0146193255708874e-05,2.779767780576967e-06,1.9791293774298003e-05,0.0
2,1,2,0.00011285775231396165,0.00010545079702631577,0.0,0.03959253875544727,0.004384850781296841
2,2,0,1.4854337559983098e-07,2.43166479946752e-06,2.289288272689369e-05,0.0,0.004931318354767106
2,2,1,0.00010944846569571573,3.294996440803679e-07,0.00028322639456649176,0.0008753444682267086,0.032396610919035465
2,2,2,0.0,0.0,0.0006105809828202394,0.0,0.12064552952221025
